

Past name,Electrolyte ID,date created,creator,note,LiPF6 concentration /molal,Salt NO.2 name,Salt NO.2 concentration /molal,Salt NO.3 name,Salt NO.3 concentration /molal,EC /wt%,EMC /wt%,DMC /wt%,MA /wt%,Compound No.1 name,Compound No.1 /wt%,Compound No.2 name2,Compound No.2 /wt%,Compound No.3 name,Compound No.3 /wt%,Compound No.4 name,Compound No.4 /wt%,Compound No.5 name,Compound No.5 /wt%,Compound No.6 name,Compound No.6 /wt%,Total,
VC 211 in 3:7 EC:EMC,JD-EL18M001,,,,1.00,,,,,30.00,70.00,0.00,0.00,VC,2.00,,1.00,TTSPi,1.00,,,,,,,104.00,
2% VC,JD-EL18M002,,,,1.00,,,,,30.00,70.00,0.00,0.00,VC,2.00,,,,,,,,,,,102.00,
2%SA in EMC,JD-EL18M003,,,,1.00,,,,,0.00,100.00,0.00,0.00,SA,2.00,,,,,,,,,,,102.00,
LGB4,JD-EL18M004,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Samsung 22V,JD-EL18M005,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Panasonic NCRBA,JD-EL18M006,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Panasonic NCRHA,JD-EL18M007,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Panasonic NCRPE,JD-EL18M008,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Panasonic NCR2170SV31 ,JD-EL18M009,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Panasonic NCRHC,JD-EL18M010,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Panasonic NCRBB,JD-EL18M011,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
VC211,JD-EL18M012,,,,1.00,,,,,30.00,70.00,0.00,0.00,VC,2.00,MMDS,1.00,TTSPi,1.00,,,,,,,104.00,
Cntrol (1.2 M LiPF6 in EC:EMC:DMC 25:5:70),JD-EL18M013,,,,1.20,,,,,29.20,4.45,66.30,0.00,VC,2.00,,,,,,,,,,,101.95,
2%FEC,JD-EL18M014,,,,1.00,,,,,30.00,70.00,0.00,0.00,FEC,2.00,,,,,,,,,,,102.00,
1% LiDFOB,JD-EL18M015,,,,1.00,,,,,30.00,70.00,0.00,0.00,LiDFOB,1.00,,,,,,,,,,,101.00,
4%FEC+0.75%SN in 80:10:10 DMC:EMC:EC,JD-EL18M016,,,,1.00,,,,,10.00,10.00,80.00,0.00,FEC,4.00,SN,0.75,,,,,,,,,104.75,
PES211,JD-EL18M017,,,,1.00,,,,,30.00,70.00,0.00,0.00,PES,2.00,DTD,1.00,TTSPi,,,,,,,,103.00,
2VC in 3:7,JD-EL18M018,,,,1.00,,,,,30.00,70.00,0.00,0.00,VC,2.00,,,,,,,,,,,102.00,
PES211D,JD-EL18M019,,,,1.00,,,,,30.00,70.00,0.00,0.00,PES,2.00,DTD,1.00,TTSPi,1.00,,,,,,,104.00,
Q5FEC,JD-EL18M020,,,,1.00,,,,,,95.00,0.00,0.00,FEC,5.00,,,,,,,,,,,100.00,
1% LiBOB,JD-EL18M021,,,,1.00,,,,,30.00,70.00,0.00,0.00,LiBOB,1.00,,,,,,,,,,,101.00,
2%PES,JD-EL18M022,,,,1.00,,,,,30.00,70.00,0.00,0.00,PES,2.00,,,,,,,,,,,102.00,
PES 211 D,JD-EL18M023,,,,1.00,,,,,30.00,70.00,0.00,0.00,PES,2.00,DTD,1.00,TTSPi,1.00,,,,,,,104.00,
2%HFB,JD-EL18M024,,,,1.00,,,,,30.00,70.00,0.00,0.00,HFB,2.00,,,,,,,,,,,102.00,
2%DiFEC,JD-EL18M025,,,,1.00,,,,,30.00,70.00,0.00,0.00,DiFEC,2.00,,,,,,,,,,,102.00,
2%TFEP,JD-EL18M026,,,,1.00,,,,,30.00,70.00,0.00,0.00,TFEP,2.00,,,,,,,,,,,102.00,
2%TPP,JD-EL18M027,,,,1.00,,,,,30.00,70.00,0.00,0.00,TPP,2.00,,,,,,,,,,,102.00,
2%TAP,JD-EL18M028,,,,1.00,,,,,30.00,70.00,0.00,0.00,TAP,2.00,,,,,,,,,,,102.00,
EC:EMC:DMC:MA:2%VC,JD-EL18M029,,,,1.00,,,,,,,,,VC,2.00,,,,,,,,,,,2.00,
2PES,JD-EL18M030,,,,1.00,,,,,30.00,70.00,0.00,0.00,PES,2.00,,,,,,,,,,,102.00,
2FEC,JD-EL18M031,,,,1.00,,,,,30.00,70.00,0.00,0.00,FEC,2.00,,,,,,,,,,,102.00,
1PES+1DTD,JD-EL18M032,,,,1.00,,,,,30.00,70.00,0.00,0.00,PES,1.00,DTD,1.00,,,,,,,,,102.00,
2PES+1DTD,JD-EL18M033,,,,1.00,,,,,30.00,70.00,0.00,0.00,PES,2.00,DTD,1.00,,,,,,,,,103.00,
1FEC+1DTD,JD-EL18M034,,,,1.00,,,,,30.00,70.00,0.00,0.00,FEC,1.00,DTD,1.00,,,,,,,,,102.00,
2FEC+1DTD,JD-EL18M035,,,,1.00,,,,,30.00,70.00,0.00,0.00,FEC,2.00,DTD,1.00,,,,,,,,,103.00,
1VC+1DTD,JD-EL18M036,,,,1.00,,,,,30.00,70.00,0.00,0.00,VC,1.00,DTD,1.00,,,,,,,,,102.00,
2VC+1DTD,JD-EL18M037,,,,1.00,,,,,30.00,70.00,0.00,0.00,VC,2.00,DTD,1.00,,,,,,,,,103.00,
1PES+1MMDS,JD-EL18M038,,,,1.00,,,,,30.00,70.00,0.00,0.00,PES,1.00,MMDS,1.00,,,,,,,,,102.00,
2PES+1MMDS,JD-EL18M039,,,,1.00,,,,,30.00,70.00,0.00,0.00,PES,2.00,MMDS,1.00,,,,,,,,,103.00,
1FEC+1MMDS,JD-EL18M040,,,,1.00,,,,,30.00,70.00,0.00,0.00,FEC,1.00,MMDS,1.00,,,,,,,,,102.00,
2FEC+1MMDS,JD-EL18M041,,,,1.00,,,,,30.00,70.00,0.00,0.00,FEC,2.00,MMDS,1.00,,,,,,,,,103.00,
"PES3,1.5,1.5",JD-EL18M042,,,,1.00,,,,,30.00,70.00,0.00,0.00,PES,3.00,DTD,1.50,TTSPi,1.50,,,,,,,106.00,
"PES1,1.5,1.5",JD-EL18M043,,,,1.00,,,,,30.00,70.00,0.00,0.00,PES,1.00,DTD,1.50,TTSPi,1.50,,,,,,,104.00,
1VC+1MMDS,JD-EL18M044,,,,1.00,,,,,30.00,70.00,0.00,0.00,VC,1.00,MMDS,1.00,,,,,,,,,102.00,
2VC+1MMDS,JD-EL18M045,,,,1.00,,,,,30.00,70.00,0.00,0.00,VC,2.00,MMDS,1.00,,,,,,,,,103.00,
1.2MLIPF6 in  EC:EMC:MA (18:42:40w/w/w)+2%FEC+1%DTD,JD-EL18M046,,,,1.20,,,,,18.00,42.00,0.00,40.00,FEC,2.00,DTD,1.00,,,,,,,,,103.00,
1.2MLiPF6 in EC:EMC (30:70w/w)+2%FEC,JD-EL18M047,,,,1.20,,,,,30.00,70.00,0.00,0.00,FEC,2.00,,,,,,,,,,,102.00,
1.2MLIPF6 in EC:EMC (30:70w/w)+2%FEC+1%DTD,JD-EL18M048,,,,1.20,,,,,30.00,70.00,0.00,0.00,FEC,2.00,DTD,1.00,,,,,,,,,103.00,
1.2MLIPF6 in EC:EMC:MA (18:42:40w/w/w)+2%FEC+1%DTD,JD-EL18M049,,,,1.20,,,,,18.00,42.00,0.00,40.00,FEC,2.00,DTD,1.00,,,,,,,,,103.00,
1.2MLIPF6 in EC:EMC:MA (24:56:20w/w/w)+2%FEC,JD-EL18M050,,,,1.20,,,,,24.00,56.00,0.00,20.00,FEC,2.00,,,,,,,,,,,102.00,
1.2MLIPF6 in  EC:EMC:MA (24:56:20w/w/w)+2%FEC,JD-EL18M051,,,,1.20,,,,,24.00,56.00,0.00,20.00,FEC,2.00,,,,,,,,,,,102.00,
1.2MLIPF6 in EC:EMC:MA (24:56:20w/w/w)+2%FEC+1%DTD,JD-EL18M052,,,,1.20,,,,,24.00,56.00,0.00,20.00,FEC,2.00,DTD,1.00,,,,,,,,,103.00,
1.2MLIPF6 in EC:EMC:MA (18:42:40w/w/w)+2%FEC,JD-EL18M053,,,,1.20,,,,,18.00,42.00,0.00,40.00,FEC,2.00,,,,,,,,,,,102.00,
1.2MLIPF6 in  EC:EMC:MA (18:42:40w/w/w)+2%FEC,JD-EL18M054,,,,1.20,,,,,18.00,42.00,0.00,40.00,FEC,2.00,,,,,,,,,,,102.00,
1.2MLIPF6 in  EC:EMC:MA (18:42:40w/w/w)+2%VC,JD-EL18M055,,,,1.20,,,,,18.00,42.00,0.00,40.00,VC,2.00,,,,,,,,,,,102.00,
1.2MLIPF6 in EC:EMC:MA (18:42:40w/w/w)+2%VC,JD-EL18M056,,,,1.20,,,,,18.00,42.00,0.00,40.00,VC,2.00,,,,,,,,,,,102.00,
1.2MLIPF6 in  EC:EMC:MA (18:42:40w/w/w)+2%VC+1%DTD,JD-EL18M057,,,,1.20,,,,,18.00,42.00,0.00,40.00,VC,2.00,DTD,1.00,,,,,,,,,103.00,
1.2MLIPF6 in  EC:EMC:MA (18:42:40w/w/w)+2%PES,JD-EL18M058,,,,1.20,,,,,18.00,42.00,0.00,40.00,PES,2.00,,,,,,,,,,,102.00,
1.2MLIPF6 in EC:EMC:MA (18:42:40w/w/w)+2%PES+1%DTD,JD-EL18M059,,,,1.20,,,,,18.00,42.00,0.00,40.00,PES,2.00,DTD,1.00,,,,,,,,,103.00,
1.2MLIPF6 in  EC:EMC:MA (18:42:40w/w/w)+2%PES+1%DTD,JD-EL18M060,,,,1.20,,,,,18.00,42.00,0.00,40.00,PES,2.00,DTD,1.00,,,,,,,,,103.00,
1.2MLIPF6 in EC:EMC:MA (34:56:20w/w/w)+2%FEC,JD-EL18M061,,,,1.20,,,,,34.00,56.00,0.00,20.00,FEC,2.00,,,,,,,,,,,112.00,
1.2MLIPF6 in  EC:EMC:MA (34:56:20w/w/w)+2%FEC,JD-EL18M062,,,,1.20,,,,,34.00,56.00,0.00,20.00,FEC,2.00,,,,,,,,,,,112.00,
1.2MLIPF6 in EC:EMC:MA (34:56:20w/w/w)+2%FEC+1%DTD,JD-EL18M063,,,,1.20,,,,,34.00,56.00,0.00,20.00,FEC,2.00,DTD,1.00,,,,,,,,,113.00,
1.2MLIPF6 in  EC:EMC:MA (34:56:20w/w/w)+2%FEC+1%DTD,JD-EL18M064,,,,1.20,,,,,34.00,56.00,0.00,20.00,FEC,2.00,DTD,1.00,,,,,,,,,113.00,
1.2MLIPF6 in  EC:EMC:MA (34:56:20w/w/w)+2%VC,JD-EL18M065,,,,1.20,,,,,34.00,56.00,0.00,20.00,VC,2.00,,,,,,,,,,,112.00,
1.2MLIPF6 in EC:EMC:MA (34:56:20w/w/w)+2%VC,JD-EL18M066,,,,1.20,,,,,34.00,56.00,0.00,20.00,VC,2.00,,,,,,,,,,,112.00,
1.2MLIPF6 in  EC:EMC:MA (34:56:20w/w/w)+2%VC+1%DTD,JD-EL18M067,,,,1.20,,,,,34.00,56.00,0.00,20.00,VC,2.00,DTD,1.00,,,,,,,,,113.00,
1.2MLIPF6 in  EC:EMC:MA (34:56:20w/w/w)+2%PES,JD-EL18M068,,,,1.20,,,,,34.00,56.00,0.00,20.00,PES,2.00,,,,,,,,,,,112.00,
1.2MLIPF6 in EC:EMC:MA (34:56:20w/w/w)+2%PES+1%DTD,JD-EL18M069,,,,1.20,,,,,34.00,56.00,0.00,20.00,PES,2.00,DTD,1.00,,,,,,,,,113.00,
1.2MLIPF6 in  EC:EMC:MA (34:56:20w/w/w)+2%PES+1%DTD,JD-EL18M070,,,,1.20,,,,,34.00,56.00,0.00,20.00,PES,2.00,DTD,1.00,,,,,,,,,113.00,
EC:EMC:DMC:2%VC,JD-EL18M071,,,,1.00,,,,,29.20,4.45,66.30,0.00,VC,2.00,,,,,,,,,,,101.95,
EC:EMC:DMC:MP:2%VC,JD-EL18M072,,,,1.00,,,,,,,,0.00,VC,2.00,,,,,,,,,,,2.00,
EC:EMC:DMC:2%FEC,JD-EL18M073,,,,1.00,,,,,29.20,4.45,66.30,0.00,FEC,2.00,,,,,,,,,,,101.95,
EC:EMC:DMC:20%MA+:2%VC,JD-EL18M074,,,,1.00,,,,,23.36,3.56,53.04,20.00,VC,2.00,,,,,,,,,,,101.96,
EC:EMC:DMC:40%MA+:2%VC,JD-EL18M075,,,,1.00,,,,,17.52,2.67,39.78,40.00,VC,2.00,,,,,,,,,,,101.97,
EC:EMC:DMC:20%MA+:2%FEC,JD-EL18M076,,,,1.00,,,,,23.36,3.56,53.04,20.00,FEC,2.00,,,,,,,,,,,101.96,
